time;codigoSerial;pm25;calidad_pm25;pm10;calidad_pm10;pm1;calidad_pm1;no;calidad_no;no2;calidad_no2;nox;calidad_nox;ozono;calidad_ozono;co;calidad_co;so2;calidad_so2;pst;calidad_pst;dviento_ssr;calidad_dviento_ssr;haire10_ssr;calidad_haire10_ssr;p_ssr;calidad_p_ssr;pliquida_ssr;calidad_pliquida_ssr;rglobal_ssr;calidad_rglobal_ssr;taire10_ssr;calidad_taire10_ssr;vviento_ssr;calidad_vviento_ssr
20/05/2021 8:00;38;24;1;51;1;-9999;1;-9999;1;-9999;1;-9999;1;4.6;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
20/05/2021 9:00;38;13;1;55;1;-9999;1;-9999;1;-9999;1;-9999;1;12.7;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
20/05/2021 10:00;38;17;1;35;1;-9999;1;-9999;1;-9999;1;-9999;1;22.9;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
20/05/2021 11:00;38;10;1;39;1;-9999;1;-9999;1;-9999;1;-9999;1;33;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
20/05/2021 12:00;38;9;1;24;1;-9999;1;-9999;1;-9999;1;-9999;1;37.9;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
20/05/2021 13:00;38;9;1;23;1;-9999;1;-9999;1;-9999;1;-9999;1;36.3;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
20/05/2021 14:00;38;10;1;41;1;-9999;1;-9999;1;-9999;1;-9999;1;36.2;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
20/05/2021 15:00;38;12;1;28;1;-9999;1;-9999;1;-9999;1;-9999;1;36.2;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
20/05/2021 16:00;38;13;1;32;1;-9999;1;-9999;1;-9999;1;-9999;1;28.7;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
20/05/2021 17:00;38;11;1;26;1;-9999;1;-9999;1;-9999;1;-9999;1;19;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
20/05/2021 18:00;38;18;1;27;1;-9999;1;-9999;1;-9999;1;-9999;1;13.2;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
20/05/2021 19:00;38;23;1;55;1;-9999;1;-9999;1;-9999;1;-9999;1;5.5;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
20/05/2021 20:00;38;12;1;22;1;-9999;1;-9999;1;-9999;1;-9999;1;9.2;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
20/05/2021 21:00;38;10;1;23;1;-9999;1;-9999;1;-9999;1;-9999;1;10.1;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
20/05/2021 22:00;38;14;1;30;1;-9999;1;-9999;1;-9999;1;-9999;1;10.2;2.3;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
20/05/2021 23:00;38;9;1;30;2;-9999;1;-9999;1;-9999;1;-9999;1;6.1;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 0:00;38;12;1;30;2;-9999;1;-9999;1;-9999;1;-9999;1;4.2;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 1:00;38;12;1;30;2;-9999;1;-9999;1;-9999;1;-9999;1;5.3;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 2:00;38;12;1;28;1;-9999;1;-9999;1;-9999;1;-9999;1;4.4;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 3:00;38;9;1;22;1;-9999;1;-9999;1;-9999;1;-9999;1;4.8;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 4:00;38;9;1;17;1;-9999;1;-9999;1;-9999;1;-9999;1;4;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 5:00;38;17;1;36;1;-9999;1;-9999;1;-9999;1;-9999;1;2.6;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 6:00;38;25;1;55;1;-9999;1;-9999;1;-9999;1;-9999;1;2.4;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 7:00;38;29;1;56;1;-9999;1;-9999;1;-9999;1;-9999;1;2.5;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 8:00;38;38;1;66;1;-9999;1;-9999;1;-9999;1;-9999;1;4.1;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 9:00;38;38;1;120;2.2;-9999;1;-9999;1;-9999;1;-9999;1;9.1;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 10:00;38;28;1;56;2.3;-9999;1;-9999;1;-9999;1;-9999;1;15.9;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 11:00;38;26;1;53;1;-9999;1;-9999;1;-9999;1;-9999;1;23.5;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 12:00;38;19;1;47;2.3;-9999;1;-9999;1;-9999;1;-9999;1;33.5;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 13:00;38;19;1;40;1;-9999;1;-9999;1;-9999;1;-9999;1;36.6;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 14:00;38;19;1;38;1;-9999;1;-9999;1;-9999;1;-9999;1;43.8;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 15:00;38;22;1;32;1;-9999;1;-9999;1;-9999;1;-9999;1;36.6;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 16:00;38;11;1;29;1;-9999;1;-9999;1;-9999;1;-9999;1;18.6;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 17:00;38;20;1;30;1;-9999;1;-9999;1;-9999;1;-9999;1;10;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 18:00;38;28;1;48;1;-9999;1;-9999;1;-9999;1;-9999;1;4.4;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 19:00;38;23;1;28;1;-9999;1;-9999;1;-9999;1;-9999;1;3.6;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 20:00;38;21;1;44;1;-9999;1;-9999;1;-9999;1;-9999;1;2.6;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
21/05/2021 21:00;38;12;1;38;1;-9999;1;-9999;1;-9999;1;-9999;1;2.4;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
